title,summary
"Director, Marketing Sciences & Advanced Analytics","You’ll be the chief methodologist on both survey and data analytics projects, using your statistical superpowers to run advanced models that deliver insights to..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Data Scientist,"
Assists with advanced analytics projects - needs guidance from more senior analytics professional *Prepare and cleanse data in preparation for analysis..."
Athlete Data Management - Sport Science Builder,"
The position(s) will involve working closely with a variety of the world’s leading sport scientists and strength & conditioning coaches to design and implement..."
Data Scientist,"
Serves as the resident data expert and share best practices/approaches for statistics, machine learning techniques, data modeling, simulation and advanced..."
Lead Data Scientist,"
The right candidate will have a strong background in predictive analytics, machine learning and building algorithms based on consumer data...."
Data Scientist,"
The ideal candidate is an independent, solution-oriented thinker with a strong background processing large data sets, applying analytical rigor and statistical..."
Associate Statistical Reports,"
Associate Statistical Reports - 247021 Federal Reserve Bank of Chicago Primary Location IL-Chicago Full-time / Part-time Full-time Employee Status"
Data Research Analyst (All Levels),"
As a data research analyst, you will join the Chicago-based team, working closely and collaboratively with data scientists and engineers to identify data needs..."
Events Intern,"
We bring entrepreneurs, scientists, physicians, investors, and healthcare industry partners together to improve quality of care and save lives...."
Senior Data Scientist,"
Work in technical teams in application and deployment of data mining methods. Perform machine learning, natural language, and statistical analysis methods, such..."
Medical Scientific Liaison Oncology Job,"
The objective of the Medical Scientific Liaison (MSL), by virtue of their training and expertise, is to discuss and provide scientific and therapeutic..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Lead Data Science Instructor,"
Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers..."
Machine Learning Researcher - BMW Technology Corporation,"
Develop novel and useful machine learning and data mining techniques, as well as assess 3rd party machine learning and data mining components...."
Big Data Engineer (Python),"
Work with Data Scientists to automate and implement advanced analytical models. We need a talented developer to help us design and build the services that will..."
Senior Developer,"
Experience with support of researchers and scientists. Must be able to manage a complex project and maintain accuracy while working on complex tasks...."
Research Data Analyst Associate,"
Critical thinking, Data mining, Data modeling, Decision making, Problem solving. The Research Data Analyst Associate utilizes multiple quantitative and..."
Transit Market Research Analyst,"
Aptitude for working with data and conducting analyses using statistical packages, databases and spreadsheets, e.g. SPSS, SQL, R, and/or Excel...."
Senior Statistical Analyst,"
These services are supplied in the context of a cooperative and project-oriented effort with the Global Project Teams (GPTs) and Product Safety teams (PSTs) in..."
Big Data Engineer,"
Experience ensuring that data flows smoothly from source to destination and supports business users such as analysts and data scientists in their ability to..."
Quantitative Analyst,"
Comprehensive health insurance plans. Allstate is looking for more analytical leaders, subject matter experts who can drive decisions as Allstate transforms and..."
"Director, RWI Data Science","
The leader will manage a group of data scientists, modelers and solution architects and lead large and/or complex projects, interact with cross functional teams..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist,"5 or more years of progressively complex experience in data analytics.· Demonstrates proficiency in most areas of mathematical analysis methods, machine..."
Data Scientist,"
As our primary data scientist, you will dive deep into our customer data to identify the actions and behaviors of successful small business marketing, and use..."
Data Scientist - Research Analytics,"
Proven experience in applying Data Science methodologies to extract, process and transform data from multiple sources...."
Research Analyst I,"
Assemble, clean, manage, and analyze large longitudinal data sets derived from multiple sources. Evaluate data quality...."
Lead Data Scientist,"
Exposure to the property & casualty industry is highly desirable, and experience with medical, clinical, and pharmacy data analytics is a big plus...."
Senior Data Scientist,"
Akamai is growing fast, and so is the volume of data we manage. As a Senior Data Scientist you will:. Experience communicating insights from complex data to non..."
Data Scientist,"
As a Data Scientist in our Applied Modeling team, you will be responsible for data-driven improvements to our spoken language understanding models...."
Statistical Analyst,"
Establish reporting databases and analyze clinical trial data. Collaborate with data management in the planning and implementation of data quality assurance..."
Data Scientist,"
Big data, data scientist, data analysis, data science, database, SQL, postgres, ETL, ELT, python, scripting, warehouse design, Tableau*...."
Quantitative Data Analyst,"
Extracting actionable insights from (big) data using data mining, statistical modeling, and database techniques...."
Principal Data Scientist (Boston),"
Lead teams of Data Scientists, Analytic Engineers, and Data Engineers on real-world challenging Data Science projects...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist,"5 or more years of progressively complex experience in data analytics.· Demonstrates proficiency in most areas of mathematical analysis methods, machine..."
"Data Science Engineer, Geospatial","
We are looking for talented people with excellent computer skills and deep knowledge of Statistical Learning who can analyze problems, develop innovative..."
Brand/Market Research Analyst,"
Create custom, targeted reports and dashboards that deliver insights into the current health of the business and opportunities for future growth...."
Algorithms Developer- Applied Mathematics,"
Understanding of data mining and machine learning algorithms. We offer challenging algorithmic problems with deep mathematical backing and direct collaboration..."
Data Analytics Engineer,"
You will work with scientists, financial analysts, customer solutions experts, and many other talented members of our team to provide reporting and analytics..."
Sr. Data Engineer (Machine Learning),"
Data Science Familiarity. Design, architect and build a data platform over Big Data Technologies. MS in computer science, machine learning, operations research,..."
Bioinformatics Analyst,"
MS or higher in bioinformatics, statistics, or any other scientific discipline with statistical component, or BS with at least 3 years relevant industrial..."
Data Scientist,"
Will be working with Data analysis and discovery for the SAP Consumer Insight 365 product, by analyzing data, applying static logics, building decision trees,..."
"Clinical Data Scientist, CS&I","
Provide real-time data visualization within clinical trials to allow ongoing review of data that will facilitate decision-making by clinical teams and..."
Marketing Data Analysis Associate,"
Demographics, clinical, behavioral) to identify patterns, segment and target populations for tailored outreach campaigns Extract and analyze data from..."
Data Scientist,"
Hands on real world experience in predictive modeling and machine learning. Their hottest need right now is for a customer facing Data Scientist to analyze..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist,"5 or more years of progressively complex experience in data analytics.· Demonstrates proficiency in most areas of mathematical analysis methods, machine..."
Permanent Senior Data Scientist/Analyst,"
Python, R, machine learning,*.  BA/BS in Data Science, Data analytics, Computer Science or related field.  Demonstrable ability to provide compelling insights..."
"Open Data Scientist | Cambridge, MA","
As our primary data scientist, you will dive deep into our customer data to identify the actions and behaviors of successful small business marketing, and use..."
Compliance Data Analysis Specialist,"
Conduct follow up reviews by assessing previous issues of noncompliance and management actions plans to ensure the implemented corrective actions fully..."
Research Scientist,"
Knowledge of metabolomics data processing workflows and relevant software. Development of data processing workflows for large nontargeted metabolomics datasets..."
Director Data Science,"
For example but not limited to physics, math, or computer scienceExcellent verbal communication and business writing skills10 years of professional experience..."
Quantitative Data Analyst,"
Whether you’re measuring site performance, analyzing customer behavior and trends, data mining, or optimizing SQL queries, you will be working with cutting edge..."
Data Engineer,"
You will work with data scientists, tool developers, consultants and clients on projects that use complex data and advanced modeling to solve client problems..."
"Statistical Design Analyst - Boston, MA","
High School Diploma or GED 1+ years of Statistical analysis, quantitative analytics, and/or forecasting/predicting analytics1+ years of experience with SAS,..."
Quantitative Analyst II,"
Develop approaches to display data trends and results of model validation and analysis to effectively communicate findings...."
Education Research Scientist,"
Will initially help design, evaluate, and assess teacher professional development programs for an international K-12 high school science, math, and English..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Sr. Sterilization Scientist - 12 Month Defined-Term,"
Works cooperatively with process development, quality, manufacturing, regulatory, clinical, and marketing on complex projects to ensure project success...."
Sr. Systems Reliability Engineer,"
Data clustering, data. Productivity of medical professionals and scientists, supplying critical. Scientists use our life science research instruments to study..."
Lead statistical analyst in health economics,"
Manage and coach project team members. HEOR Services include studies covering epidemiology, measuring the impact of a pathology, clinical and economic..."
CVA Quantitative Analyst,"
Experience coding in C++, C#, .Net, java or with a scientific computing language such as Matlab, R, etc. Strong data mining skills (i.e...."
Go to Market Marketing Research & Insights Analyst,"
Customer Insights & Customer Marketing Plans, 2) customer-specific & cross-customer deliverables for internal and external customers, 3) actionable insights..."
Research and Development Manager,"
Manage and provide mentorship, growth and development assistance to R&D staff - Junior Scientists, Associate Scientists, Lab Coordinator, etc...."
Development Scientist II,"
Productivity of medical professionals and scientists, supplying critical. Scientists use our life science research instruments to study complex...."
Research Scientist - Part Time 20 hours a week I,"
Analyze data and report results. "" Documented ability to design, carry out, and report (independently and in collaboration with other members of project teams)..."
Research Scientist I,"
40% - Assistance in lab scale fermentor setup, sampling, written and electronic data documentation and processing of results...."
R&D Chemist/Lab Technician,"
Communicate results with other chemists or scientists. You will become a part of an enthusiastic team of chemists and scientists to assist in preparing..."
"ETL Developer, Data Warehouse","Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Administrative Assistant - Part Time,"
Conduct field laboratory and office activities in a manner consistent with federal state and local environmental health and safety regulations and AET’s Health..."
Carbohydrate Principal Scientist,"
Overseeing and influencing scientists to accomplish objectives, and managing a research program with multiple projects...."
"Field Medical Scientist - MSL - Melanoma/RCC - ND, SD, MN, IA, WI","
Provide scientific support at promotional meetings by presenting unbiased scientific and clinical data, by evaluating speakers and by giving support to BMS..."
Information Technology (IT) Systems Technician,"
Conduct field laboratory and office activities in a manner consistent with federal state and local environmental health and safety regulations and AET’s Health..."
Electro Mechanical R&D Technician,"
Demonstrate the ability to communicate technical information, test results in written, verbal form and be able to communicate effectively with individuals and..."
Chemical Technician-Product inventory and Shipping and Receiving,"
We provide high quality research chemicals with interesting and novel biological activities to researchers and scientists worldwide in the areas of cancer..."
"Senior Product Development Scientist* (Maplewood, MN) Job","
To comply with these laws, and in conjunction with the review of candidates for those positions within 3M that may present access to export controlled technical..."
Associate Technician Instrument Manufacturing - 4:00 p.m. - 2:30 a.m. M-Th,"
For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying..."
Technician Instrument Manufacturing - 2nd shift (4:00 pm-2:30 am M-Th),"
For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying..."
Environmental Permitting and Compliance Focus,"
Today, our over 750 engineers, scientists, technical specialists, and support staff work with clients in the mining, power, refining, manufacturing, and forest..."
"ETL Developer, Data Warehouse","Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Product Manager/Director - Patient Education,"
A global company based in Amsterdam, Elsevier partners with scientists, researchers, healthcare providers, educators and decision-makers in academic..."
Laboratory Technician - Concrete,"
Conduct field laboratory and office activities in a manner consistent with federal state and local environmental health and safety regulations and AET’s Health..."
Associate Structural or Architectural Engineer,"
(WJE) is an interdisciplinary firm of architects, structural engineers, and materials scientists that specializes in the investigation, analysis, testing, and..."
Senior Quality Assurance Engineer,"
Professionals and scientists, supplying critical information for improving. Patient health and reducing the cost of care...."
Medical Laboratory Scientist 1.0 E/N Job,"
Successful completion of a Clinical rotation in an approved program that qualifies for ASCP certification or equivalent preferred;..."
Staff Geologist,"
Interpret soil, bedrock and groundwater elevation and quality data. Performs site visits, field observations and field data collection or assignments...."
Technician 1,"
Conduct field laboratory and office activities in a manner consistent with federal state and local environmental health and safety regulations and AET’s Health..."
Staff Systems Engineer,"
Scientists use our life science research instruments to study complex biological problems including causes of disease and potential new therapies or drugs...."
Marketing Coordinator,"
Conduct field laboratory and office activities in a manner consistent with federal state and local environmental health and safety regulations and AET’s Health..."
Wildlife Biologist - MN - TM,"
The successful candidate must be willing and able to spend a majority of the day writing technical reports and/or permitting documents with great attention to..."
"ETL Developer, Data Warehouse","Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Data Scientist,"5 or more years of progressively complex experience in data analytics.· Demonstrates proficiency in most areas of mathematical analysis methods, machine..."
Permanent Senior Data Scientist/Analyst,"
Python, R, machine learning,*.  BA/BS in Data Science, Data analytics, Computer Science or related field.  Demonstrable ability to provide compelling insights..."
"Open Data Scientist | Cambridge, MA","
As our primary data scientist, you will dive deep into our customer data to identify the actions and behaviors of successful small business marketing, and use..."
Compliance Data Analysis Specialist,"
Conduct follow up reviews by assessing previous issues of noncompliance and management actions plans to ensure the implemented corrective actions fully..."
Research Scientist,"
Knowledge of metabolomics data processing workflows and relevant software. Development of data processing workflows for large nontargeted metabolomics datasets..."
Director Data Science,"
For example but not limited to physics, math, or computer scienceExcellent verbal communication and business writing skills10 years of professional experience..."
Quantitative Data Analyst,"
Whether you’re measuring site performance, analyzing customer behavior and trends, data mining, or optimizing SQL queries, you will be working with cutting edge..."
Data Engineer,"
You will work with data scientists, tool developers, consultants and clients on projects that use complex data and advanced modeling to solve client problems..."
"Statistical Design Analyst - Boston, MA","
High School Diploma or GED 1+ years of Statistical analysis, quantitative analytics, and/or forecasting/predicting analytics1+ years of experience with SAS,..."
Quantitative Analyst II,"
Develop approaches to display data trends and results of model validation and analysis to effectively communicate findings...."
Education Research Scientist,"
Will initially help design, evaluate, and assess teacher professional development programs for an international K-12 high school science, math, and English..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Scientist I,"
Applicants should have a minimum of a BA/BS degree in Environmental Science, Geography or a related scientific discipline...."
Data Scientist,"
4874 Data Scientist*. Prime Team Partners is currently partnering with client in the Dallas area to identify a Data Scientist with the ability to deliver..."
Research Statistical Analyst,"
The primary purpose of the Research Statistical Analyst position is to carry out data preparation responsibilities related to cancer clinical trials, develop..."
Senior Research Investigator,"
Experience in managing a research laboratory, including technicians and other scientists. Operates a variety of clinical and experimental monitors and life..."
Data Scientinst - Business Intelligence Specialist,"
Data Scientist Business Intelligence Specialist. Experience with R, Python and/or machine learning languages...."
Machine Learning Scientist,"
This person will work closely with software engineers, data engineers, and other Amazon research scientists to design and implement predictive, scalable models..."
Principal Quantitative Analyst,"
Assess data quality, prepare data for analysis, build statistical models to identify relationships and trends in historic data, and analyze and interpret..."
Research Scientist I (Temporary),"
Performs data and statistical analyses. Performs research in an area of considerable scope and complexity. In a related field...."
Data Scientist,"
Assess data quality, prepare data for processing, build, monitor, or validate statistical models, identify relationships and trends in econometric data, and..."
Lead R&D Catalyst Scientist (Research),"
Must be able to collaborate with other scientists professionally. Incumbent will be responsible for working on senior level research based scientific projects..."
"Director, Marketing Sciences & Advanced Analytics","You’ll be the chief methodologist on both survey and data analytics projects, using your statistical superpowers to run advanced models that deliver insights to..."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Healthcare Financial Statistician,"
The Healthcare Financial Statistician serves as a key business analyst by applying statistics analysis and financial insight in performing financial data..."
Data Scientist - Austin,"
How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Senior Data Scientist - Machine Learning,"
Senior Data Scientist – Machine Learning. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient...."
Senior Data Scientist Big Data,"
Expert level competency with scientific data analysis methods, leveraging statistics, data modeling, anomaly and outlier detections, and machine learning..."
Senior Medical Lab Scientist,"
Bachelor's degree in Clinical Laboratory Sciences or basic sciences required. Reviews test results and QC data for accuracy...."
IT Big Data Developer,"
A hands on computer scientists at heart with a total 8+ Years’ experience of Software Development. The Big Data Developer will be expected to architect..."
Robotic Process Automation (PRA) Technical Automation Architect,"
Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly..."
ASSISTANT RESEARCH SCIENTIST,"
ASSISTANT RESEARCH SCIENTIST. Texas A&M University Corpus Christi...."
Research Analyst,"
TEACH you about Talent Selection, our Statistics & Data Analytics Methodology, and Data Driven Hiring...."
High School Sports Statistician,"
Looking for someone to do High School Football Stats for Magnolia ISD Will be given training with the computer program. Job Type: Part"
"Director, Marketing Sciences & Advanced Analytics","You’ll be the chief methodologist on both survey and data analytics projects, using your statistical superpowers to run advanced models that deliver insights to..."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Big Data Analytics Manager,"
Deliver client analytics projects as part of broader team of data scientists and industry/solution professionals by working with the appropriate technical..."
Marketing Research Analyst,"
Provide analyses and interpretations of campaign data and market insights to identify key drivers for Marketing Return on Investment (ROI) optimization...."
Cognitive Software Engineer,"
Proven track record of leading a team of developers and data scientists. A successful candidate will be technically deep with an established background in..."
RESEARCH ANALYST - SR. RESEARCH ANALYST - TRANSPORTATION SYSTEMS,"
Must have background or experience in areas of research and software development such as Intelligent Transportation Systems, Smart City, TSM&O, Decision Support..."
Senior Marketing Data Scientist,"
Senior Marketing Data Scientist. Working knowledge of applications such as R, SAS, SQL, Google Analytics, Tableau or Qlik, Alteryx, and Microsoft Access and..."
Sharepoint Systems Analyst,"
Data Scientist experience. Work with business clients and technology resources to gather, perform analysis, and document mortgage industry project requirements..."
Data Scientist,"
At least 6 years of experience in Data warehousing. At least 6 years of experience in Project life cycle activities on development and maintenance projects...."
"Associate Instructor, Data Scientist","
Associate Instructor, Data Scientist. Join us in building the world's hub for education in data science and data engineering...."
Data Science Intern - Plano Only - Other Amazing Universities,"
Integrate internal data with external data sources and APIs to discover actionable insights. Evaluate open source and internally-developed modeling and..."
Research Scientist - Obstetrics & Gynecology,"
Job Duties Plans, organizes, coordinates, directs, and personally participates in assigned scientific or medical research project...."
"Director, Marketing Sciences & Advanced Analytics","You’ll be the chief methodologist on both survey and data analytics projects, using your statistical superpowers to run advanced models that deliver insights to..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Product Manager/Director - Patient Education,"
A global company based in Amsterdam, Elsevier partners with scientists, researchers, healthcare providers, educators and decision-makers in academic..."
Laboratory Technician - Concrete,"
Conduct field laboratory and office activities in a manner consistent with federal state and local environmental health and safety regulations and AET’s Health..."
Associate Structural or Architectural Engineer,"
(WJE) is an interdisciplinary firm of architects, structural engineers, and materials scientists that specializes in the investigation, analysis, testing, and..."
Senior Quality Assurance Engineer,"
Professionals and scientists, supplying critical information for improving. Patient health and reducing the cost of care...."
Medical Laboratory Scientist 1.0 E/N Job,"
Successful completion of a Clinical rotation in an approved program that qualifies for ASCP certification or equivalent preferred;..."
Staff Geologist,"
Interpret soil, bedrock and groundwater elevation and quality data. Performs site visits, field observations and field data collection or assignments...."
Technician 1,"
Conduct field laboratory and office activities in a manner consistent with federal state and local environmental health and safety regulations and AET’s Health..."
Staff Systems Engineer,"
Scientists use our life science research instruments to study complex biological problems including causes of disease and potential new therapies or drugs...."
Marketing Coordinator,"
Conduct field laboratory and office activities in a manner consistent with federal state and local environmental health and safety regulations and AET’s Health..."
Wildlife Biologist - MN - TM,"
The successful candidate must be willing and able to spend a majority of the day writing technical reports and/or permitting documents with great attention to..."
"ETL Developer, Data Warehouse","Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
"SR Research Scientist, ICD Analytical","
This will include develop methods, generate quantitative data, collaborate on intellectual property and understand data modelling...."
Research Scientist,"
Manage data in central data management system. Generate scientific reports. Participate in new product development project teams...."
Research Analyst-Capital Markets Group-Chicago,"
Understand and manage key resources, data vendors, and available technology. Articulate in a compelling way market trends and insights internally and externally..."
Data Scientist - Groupon Getaways,"
Research on data mining, web mining, or machine learning algorithms; Data mining, machine learning, statistical analysis, modeling, and personalization..."
Data Scientist,"
Full health and dental benefits. Solid understanding of Big Data tools:. Working knowledge of Python, R, and Matlab...."
Data Scientist (Chicago),"
Candidate must be able to build out an API driven by classical statistics or machine learning when applicable. What type of work will the Data Scientist perform..."
"Senior Analyst, Quantitative Research","
Manage interns and entry-level staff on a project. A high level of motivation and excellent communication skills are required to manage an incredibly diverse..."
Data Scientist,"
The ideal candidate is an independent, solution-oriented thinker with a strong background processing large data sets, applying analytical rigor and statistical..."
Principal Statistical Analyst / Data Scientist,"
Assist Associate Director and Director of Analytics in the identification and quantification of applications of analytics and development of project charters..."
Senior Research Analyst,"
Flexible spending plans for health care and dependent care; Minimum 5-10 years of relevant work experience. Ability to multitask in a fast paced environment and..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Social Media Research Analyst Intern,"
Synthesize data and research trends to develop strategic and tactical insights. An interest in developing consumer insights, marketing research, and analytics..."
InContext Solutions - Lead Data Scientist,"
Are you passionate about mining insights from large amounts of data? You have a keen desire to solve business problems, and live to find patterns and insights..."
Market Research Analyst,"
Data Fluency—Strong experience with data analysis, interpretation, presentation, and delivery. Deliver insights from survey data that impact the success of your..."
"Analyst, Quantitative Research","
One to two years of relevant quantitative experience within a market research capacity is highly preferred, but if you have relevant internship experience, we..."
Research Engineer,"
The DSL Lab performs innovative research in data management and organization, scientific computing, and data forensics...."
Senior Manager Predictive Analytics,"
The Data Scientist has a passion for analyzing data and through theory-based inquiry, hypothesis testing and process analytics, discover new insights and trends..."
Program/Project Manager - Data Analytics,"
The data innovation lab project manager is responsible for providing project leadership, data/information science technology mentoring, proposing task level..."
"Regional Manager, Customer Insights & Strategy","
Composed of researchers, data scientists, and engineers the team makes an impact across Uber. As a part of the team in this role, you will be responsible for..."
Dir. Data Scientist (West),"
About the Data Scientist role. Microsoft SQL Server Data Science or Analytics (machine learning, analytical models, MAHOUT, etc.)...."
Data Engineer,"
Work with Business Analysts, Application Developers and Data Scientists to implement solutions using agile methodologies...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist - Marketing Big Data,"Running machine learning algorithms against data sets in H2o, R and Python environments. Data Scientist - Marketing Big Data...."
Senior Quantitative Analyst - Marketing,"
Marketing Analytics, Research and Administration (MARA) provides fact-based analytics, research and insights to drive and influence decision-marking that..."
Financial Data Scientist (Machine Learning),"
We are a global multi-strategy hedge fund with over 11 billion in AUM located in Downtown Chicago is looking for an experienced Data Scientist with an..."
Quantitative Analyst,"
Experience with time-series data or large data set analysis a plus. R or Python:. PhD/MS or BS with equivalent work experience in computer science, engineering,..."
Senior Survey Research Analyst,"
Analyzes and interprets survey data. Courses in health and safety, statistics, psychometrics, survey research, research methods or experimental design...."
Senior Research Analyst - Global Real Asset Debt,"
Bachelor’s degree and 5 to 8 years of relevant investment experience is required. Nuveen Asset Management’s Real Asset investment philosophy incorporates an..."
SR. HEALTHCARE DATA SCIENTIST,"
Strong working knowledge of advanced data mining algorithms including predictive modeling, multivariate modeling, decision-trees, probability networks,..."
Data Scientist / Risk Modeling,"
Exp in data mining and Machine learning, HPC, parallel processing. We have an Urgent Direct Client Requirement - Data Scientist...."
Data Scientist -Speech Recognition,"
Data Scientist -Speech Recognition. Creating machine learning models from development through testing and validation to our 30+ million customers in production...."
Data Scientist,"
Seeking a Senior Data Scientist with experience and knowledge of analytics to solve large-scale, enterprise, complex, and challenging business problems...."
Operations Research Analyst 2,"
Consolidates data from one or more source systems, cleanses and analyzes data, and presents summary of findings...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist,"5 or more years of progressively complex experience in data analytics.· Demonstrates proficiency in most areas of mathematical analysis methods, machine..."
Research Analyst,"
Foresee potential testing issues and relay messages to project management and analytics in a timely manner. Work independently, as well as with a project team,..."
"Data Scientist, Search Engine Marketing","
Using data science techniques that include predictive modeling and machine learning, this role will be focused on optimizing our SEM campaigns in such areas as..."
Research Analyst,"
And with research resource development, including developing expertise in writing documents required for research (i.e., data use agreements (DUAs), IRB..."
Data Integration Architect - Advanced Analytics,"
You will work with data scientists, data architects, consultants and clients on projects that use complex data and advanced modeling to solve client problems..."
Data Scientist,"
Lead data analysis projects including extraction and summary of various types of genomic and clinical data, and statistical analysis for the association of..."
Asst. Director¸ Data Science,"
The Liberty Mutual Legal department has been on the forefront of Legal Analytics for years and has seen the substantial benefits of applying advanced analytics,..."
Scientist - Applied Data Sciences,"
To facilitate interactions between data scientists, informaticians, and biologists, this applied data scientist will occasionally serve as a “translator” across..."
"Process Scientist/Engineer II, 1030290","
Individual will provide subject matter expertise in supporting process and product related investigations, execute CAPAs and provide input to process and..."
Research Analyst,"
The chosen candidate will have experience in crafting statistical plans, executing advanced statistical analyses, and scientific writing...."
Quantitative Analyst - Class of 2017,"
We need smart, quantitative people to rip through data and find trends that will help us grow. You might know a programming language – Python, Ruby, R, etc. (a..."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist,"5 or more years of progressively complex experience in data analytics.· Demonstrates proficiency in most areas of mathematical analysis methods, machine..."
Scientific Software Analyst,"
Partner with engineers and research scientists to design, develop, and support dynamic web applications for a number of different scientific workflows,..."
Quantitative Analyst,"
1+ years of relevant work experience in a research oriented environment and/or in financial services including banking, insurance, investment management,..."
Data Scientist,"
A deep understanding of machine learning or statistics. Voted Boston's Best Places to Work in from 2012-2014, Fiksu offers competitive salary, equity and..."
Part Time Data Science Instructor,"
You are eager to shape the skills, minds, and trajectories of the newest generation of data scientists. Data visualization techniques;..."
Research Analyst - Data Management Group,"
Provide support on the production, maintenance, and performance of Data Management Group databases and datasets including aiding in data acquisition, quality..."
Data Scientist,"
3+ years of relevant experience in classification-type Machine Learning projects. Do you want to be involved in delivering the next generation of analytic..."
Data Scientist,"
Data Scientist Job Description. Looking to hire a data scientist to work on data problems related to specific teams, all the way to overarching data models and..."
Quantitative Analyst,"
Across the globe, institutional investors rely on us to help them manage risk, respond to challenges, and drive performance and profitability...."
Sr. Statistical Programmer,"
Input to project timelines, and ensure that project timelines are met for both. ICH, and FDA guidelines and regulations applicable to conduct clinical...."
Data Scientist,"
Data mining - uncover deep insight hidden in our vast repository of raw data, and provide tactical guidance on how act on findings...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Scientist,"5 or more years of progressively complex experience in data analytics.· Demonstrates proficiency in most areas of mathematical analysis methods, machine..."
Research Scientist\Senior Research Scientist – Commercial Insurance,"
Advanced degree (doctorate preferred) in computer science, statistics, biostatistics, applied mathematics, economics or other related fields with a focus on..."
Quantitative Analyst,"
Analytics & Decision Sciences (ADS) is a new function that is focused on leveraging all of our data assets to solve business challenges, optimize profitability,..."
Research Analyst,"
The Analyst will also help support the prospect management efforts of the team by maintaining and monitoring department protocols for the prospect module in the..."
Analytical Scientist,"
Excellent writing skills, and the ability to document and communicate results to a wide array of scientists and management will be critical...."
